journal_name,priority,domain,publisher,coverage_status,official_source_type,official_source_url,official_source_verified,rss_url,crossref_query,pubmed_query,fallback_sources,next_action,notes
British Journal of Sports Medicine,S,sports medicine/review/clinical,BMJ,official_configured,bmj_online_first,https://bjsm.bmj.com/content/early/recent,yes,,British Journal of Sports Medicine,"""British Journal of Sports Medicine""[Journal]",crossref;pubmed,active_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Journal of Sport and Health Science,S,exercise health/mechanism/intervention,to_verify,database_fallback_only,pending,,no,,Journal of Sport and Health Science,"""Journal of Sport and Health Science""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Sports Medicine,S,review/training/recovery,Springer Nature,official_configured,springer_journal,https://link.springer.com/journal/40279/articles,yes,,Sports Medicine,"""Sports Medicine""[Journal]",crossref;pubmed,active_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Sports Medicine-Open,A,sports medicine/open access,Springer Nature,official_configured,springer_journal,https://link.springer.com/journal/40798/articles,yes,,Sports Medicine-Open,"""Sports Medicine-Open""[Journal]",crossref;pubmed,active_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Journal of Orthopaedic & Sports Physical Therapy,A,rehabilitation/physical therapy,to_verify,database_fallback_only,pending,,no,,Journal of Orthopaedic & Sports Physical Therapy,"""Journal of Orthopaedic & Sports Physical Therapy""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Arthroscopy: The Journal of Arthroscopic and Related Surgery,A,orthopaedics/sports injury,to_verify,database_fallback_only,pending,,no,,Arthroscopy: The Journal of Arthroscopic and Related Surgery,"""Arthroscopy: The Journal of Arthroscopic and Related Surgery""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Biology of Sport,S,exercise physiology/training,to_verify,database_fallback_only,pending,,no,,Biology of Sport,"""Biology of Sport""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
"Knee Surgery, Sports Traumatology, Arthroscopy",A,orthopaedics/sports injury,to_verify,database_fallback_only,pending,,no,,"Knee Surgery, Sports Traumatology, Arthroscopy","""Knee Surgery, Sports Traumatology, Arthroscopy""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Exercise and Sport Sciences Reviews,S,review/exercise physiology,to_verify,database_fallback_only,pending,,no,,Exercise and Sport Sciences Reviews,"""Exercise and Sport Sciences Reviews""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
American Journal of Sports Medicine,A,sports medicine/orthopaedics,to_verify,database_fallback_only,pending,,no,,American Journal of Sports Medicine,"""American Journal of Sports Medicine""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
International Journal of Sports Physiology and Performance,S,performance/training monitoring,to_verify,database_fallback_only,pending,,no,,International Journal of Sports Physiology and Performance,"""International Journal of Sports Physiology and Performance""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Medicine & Science in Sports & Exercise,S,exercise physiology/training,to_verify,database_fallback_only,pending,,no,,Medicine & Science in Sports & Exercise,"""Medicine & Science in Sports & Exercise""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Journal of the International Society of Sports Nutrition,S,sports nutrition/supplementation,to_verify,database_fallback_only,pending,,no,,Journal of the International Society of Sports Nutrition,"""Journal of the International Society of Sports Nutrition""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Scandinavian Journal of Medicine & Science in Sports,S,exercise medicine/training,to_verify,database_fallback_only,pending,,no,,Scandinavian Journal of Medicine & Science in Sports,"""Scandinavian Journal of Medicine & Science in Sports""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Exercise Immunology Review,S,exercise immunology/inflammation/review,to_verify,database_fallback_only,pending,,no,,Exercise Immunology Review,"""Exercise Immunology Review""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Archives of Physical Medicine and Rehabilitation,A,rehabilitation/physical medicine,to_verify,database_fallback_only,pending,,no,,Archives of Physical Medicine and Rehabilitation,"""Archives of Physical Medicine and Rehabilitation""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
