journal_name,issn,eissn,priority,domain,frequency,active,rss_url,crossref_query,pubmed_query,notes
British Journal of Sports Medicine,,,S,sports medicine/review/clinical,daily,yes,,British Journal of Sports Medicine,"""British Journal of Sports Medicine""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Journal of Sport and Health Science,,,S,exercise health/mechanism/intervention,daily,yes,,Journal of Sport and Health Science,"""Journal of Sport and Health Science""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Sports Medicine,,,S,review/training/recovery,daily,yes,,Sports Medicine,"""Sports Medicine""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Sports Medicine-Open,,,A,sports medicine/open access,daily,yes,,Sports Medicine-Open,"""Sports Medicine-Open""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Journal of Orthopaedic & Sports Physical Therapy,,,A,rehabilitation/physical therapy,daily,yes,,Journal of Orthopaedic & Sports Physical Therapy,"""Journal of Orthopaedic & Sports Physical Therapy""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Arthroscopy: The Journal of Arthroscopic and Related Surgery,,,A,orthopaedics/sports injury,daily,yes,,Arthroscopy: The Journal of Arthroscopic and Related Surgery,"""Arthroscopy: The Journal of Arthroscopic and Related Surgery""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Biology of Sport,,,S,exercise physiology/training,daily,yes,,Biology of Sport,"""Biology of Sport""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
"Knee Surgery, Sports Traumatology, Arthroscopy",,,A,orthopaedics/sports injury,daily,yes,,"Knee Surgery, Sports Traumatology, Arthroscopy","""Knee Surgery, Sports Traumatology, Arthroscopy""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Exercise and Sport Sciences Reviews,,,S,review/exercise physiology,daily,yes,,Exercise and Sport Sciences Reviews,"""Exercise and Sport Sciences Reviews""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
American Journal of Sports Medicine,,,A,sports medicine/orthopaedics,daily,yes,,American Journal of Sports Medicine,"""American Journal of Sports Medicine""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
International Journal of Sports Physiology and Performance,,,S,performance/training monitoring,daily,yes,,International Journal of Sports Physiology and Performance,"""International Journal of Sports Physiology and Performance""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Medicine & Science in Sports & Exercise,,,S,exercise physiology/training,daily,yes,,Medicine & Science in Sports & Exercise,"""Medicine & Science in Sports & Exercise""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Journal of the International Society of Sports Nutrition,,,S,sports nutrition/supplementation,daily,yes,,Journal of the International Society of Sports Nutrition,"""Journal of the International Society of Sports Nutrition""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Scandinavian Journal of Medicine & Science in Sports,,,S,exercise medicine/training,daily,yes,,Scandinavian Journal of Medicine & Science in Sports,"""Scandinavian Journal of Medicine & Science in Sports""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Exercise Immunology Review,,,S,exercise immunology/inflammation/review,daily,yes,,Exercise Immunology Review,"""Exercise Immunology Review""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Archives of Physical Medicine and Rehabilitation,,,A,rehabilitation/physical medicine,daily,yes,,Archives of Physical Medicine and Rehabilitation,"""Archives of Physical Medicine and Rehabilitation""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Journal of Exercise Science & Fitness,,,A,exercise science/fitness,daily,yes,,Journal of Exercise Science & Fitness,"""Journal of Exercise Science & Fitness""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Science and Medicine in Football,,,A,football/performance/medicine,daily,yes,,Science and Medicine in Football,"""Science and Medicine in Football""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Journal of Sport Management,,,B,sport management,weekly,yes,,Journal of Sport Management,"""Journal of Sport Management""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Journal of Science and Medicine in Sport,,,S,sports medicine/exercise science,daily,yes,,Journal of Science and Medicine in Sport,"""Journal of Science and Medicine in Sport""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Journal of Applied Physiology,,,S,applied physiology/mechanism,daily,yes,,Journal of Applied Physiology,"""Journal of Applied Physiology""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Psychology of Sport and Exercise,,,B,sport psychology,weekly,yes,,Psychology of Sport and Exercise,"""Psychology of Sport and Exercise""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Journal of Applied Sport Psychology,,,B,sport psychology,weekly,yes,,Journal of Applied Sport Psychology,"""Journal of Applied Sport Psychology""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
"Qualitative Research in Sport, Exercise and Health",,,B,qualitative/exercise health,weekly,yes,,"Qualitative Research in Sport, Exercise and Health","""Qualitative Research in Sport, Exercise and Health""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Journal of Strength and Conditioning Research,,,S,strength conditioning/training,daily,yes,,Journal of Strength and Conditioning Research,"""Journal of Strength and Conditioning Research""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
European Journal of Sport Science,,,S,exercise science/performance,daily,yes,,European Journal of Sport Science,"""European Journal of Sport Science""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Strength and Conditioning Journal,,,A,strength conditioning/practice,daily,yes,,Strength and Conditioning Journal,"""Strength and Conditioning Journal""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Journal of Shoulder and Elbow Surgery,,,A,orthopaedics/shoulder elbow,daily,yes,,Journal of Shoulder and Elbow Surgery,"""Journal of Shoulder and Elbow Surgery""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
